"","Signature","Pvalue"
"2","SBS2",0
"4","SBS4",0
"7","SBS7a",0
"19","SBS13",0
"31","SBS24",0
"45","SBS39",0
"1","SBS1",2.6799622262586e-134
"21","SBS15",1.2694583836721e-79
"14","SBS10b",6.05482502826e-42
"6","SBS6",6.95948928050063e-39
"53","SBS87",8.16977718835881e-23
"48","SBS42",1.33226762955019e-15
"44","SBS38",3.33066907387547e-15
"24","SBS17b",2.94223693586115e-14
"36","SBS30",3.73479025483903e-13
"32","SBS25",2.26216823051573e-11
"52","SBS86",5.5651869779183e-09
"29","SBS22",8.87176976327453e-09
"25","SBS18",1.84595723834359e-08
"3","SBS3",1.57138759782072e-07
"23","SBS17a",5.73246824455456e-06
"41","SBS35",1.83852224020509e-05
"55","SBS89",2.33416743302683e-05
"57","SBS91",5.69757839035123e-05
"16","SBS10d",0.000194699944759836
"22","SBS16",0.000358206133986627
"9","SBS7c",0.000589246296608241
"8","SBS7b",0.00133179692518264
"26","SBS19",0.00144340971540236
"34","SBS28",0.0028850427097346
"58","SBS92",0.00966662730840162
"49","SBS44",0.012117860624385
"40","SBS34",0.0132932354174169
"11","SBS8",0.0153729454578604
"28","SBS21",0.0350365880888071
"20","SBS14",0.0390508196359616
"50","SBS84",0.0462356129874597
"60","SBS94",0.0542746994719809
"46","SBS40",0.0542901354739656
"17","SBS11",0.104506002399809
"30","SBS23",0.142847196613157
"33","SBS26",0.149160918825539
"51","SBS85",0.169255538224509
"59","SBS93",0.195230349988558
"27","SBS20",0.237134166447632
"18","SBS12",0.284708770518782
"13","SBS10a",0.307415349871622
"38","SBS32",0.339631875056431
"56","SBS90",0.354765027870362
"37","SBS31",0.373032005909937
"39","SBS33",0.378991423577685
"5","SBS5",0.398463156137979
"15","SBS10c",0.477537587246413
"35","SBS29",0.533584801745458
"43","SBS37",0.561590869081468
"42","SBS36",0.645992282173847
"54","SBS88",0.806586285084018
"10","SBS7d",0.937741747891058
"47","SBS41",0.979334613684227
"12","SBS9",0.980008949728884
